cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2
True	1	1	LOC	0.15385	0.09524	0.11765	21	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	1	ORG	0.00000	0.00000	0.00000	13	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	1	PER	0.30233	0.27083	0.28571	48	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	2	LOC	0.20000	0.14286	0.16667	35	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	2	ORG	0.00000	0.00000	0.00000	13	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	2	PER	0.29545	0.25000	0.27083	52	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	3	LOC	0.09091	0.14286	0.11111	14	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	3	ORG	0.00000	0.00000	0.00000	16	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	3	PER	0.25490	0.30233	0.27660	43	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	4	LOC	0.10000	0.03846	0.05556	26	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	4	ORG	0.00000	0.00000	0.00000	8	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	4	PER	0.35294	0.17910	0.23762	67	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	5	LOC	0.04348	0.04348	0.04348	23	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	5	ORG	0.50000	0.08333	0.14286	12	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	5	PER	0.43478	0.36364	0.39604	55	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
False	1	1	LOC	0.27148	0.07117	0.11278	1110	CRF	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus
False	1	1	ORG	0.21622	0.02649	0.04720	906	CRF	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus
False	1	1	PER	0.28684	0.32319	0.30393	789	CRF	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus
False	1	1	LOC	0.28462	0.11280	0.16157	328	CRF	2015.conll.freebase.horus	ner.txt.horus
False	1	1	ORG	0.01852	0.00488	0.00772	205	CRF	2015.conll.freebase.horus	ner.txt.horus
False	1	1	PER	0.44192	0.26158	0.32864	669	CRF	2015.conll.freebase.horus	ner.txt.horus
False	1	1	LOC	0.17143	0.02459	0.04301	244	CRF	2015.conll.freebase.horus	emerging.test.annotated.horus
False	1	1	ORG	0.00000	0.00000	0.00000	87	CRF	2015.conll.freebase.horus	emerging.test.annotated.horus
False	1	1	PER	0.45813	0.16578	0.24346	561	CRF	2015.conll.freebase.horus	emerging.test.annotated.horus
False	1	1	LOC	0.28302	0.09494	0.14218	158	CRF	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus
False	1	1	ORG	0.00000	0.00000	0.00000	49	CRF	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus
False	1	1	PER	0.59633	0.24074	0.34301	270	CRF	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus
True	1	1	LOC	0.63717	0.30901	0.41618	233	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	1	ORG	0.47727	0.11667	0.18750	180	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	1	PER	0.49296	0.23179	0.31532	151	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	2	LOC	0.57447	0.32400	0.41432	250	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	2	ORG	0.38202	0.19318	0.25660	176	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	2	PER	0.58929	0.20245	0.30137	163	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	3	LOC	0.59286	0.34016	0.43229	244	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	3	ORG	0.47887	0.20988	0.29185	162	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	3	PER	0.27119	0.09467	0.14035	169	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	4	LOC	0.58394	0.34483	0.43360	232	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	4	ORG	0.37634	0.17413	0.23810	201	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	4	PER	0.48352	0.31655	0.38261	139	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	5	LOC	0.51240	0.33155	0.40260	187	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	5	ORG	0.52564	0.20297	0.29286	202	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	5	PER	0.38182	0.27273	0.31818	154	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
False	1	1	LOC	0.36066	0.13415	0.19556	328	CRF	2016.conll.freebase.ascii.txt.horus	ner.txt.horus
False	1	1	ORG	0.14634	0.05854	0.08362	205	CRF	2016.conll.freebase.ascii.txt.horus	ner.txt.horus
False	1	1	PER	0.68681	0.18685	0.29377	669	CRF	2016.conll.freebase.ascii.txt.horus	ner.txt.horus
False	1	1	LOC	0.24658	0.07377	0.11356	244	CRF	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus
False	1	1	ORG	0.04167	0.04598	0.04372	87	CRF	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus
False	1	1	PER	0.49550	0.09804	0.16369	561	CRF	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus
False	1	1	LOC	0.24510	0.15823	0.19231	158	CRF	ner.txt.horus	2015.conll.freebase.horus
False	1	1	ORG	0.03704	0.02041	0.02632	49	CRF	ner.txt.horus	2015.conll.freebase.horus
False	1	1	PER	0.41245	0.39259	0.40228	270	CRF	ner.txt.horus	2015.conll.freebase.horus
False	1	1	LOC	0.38791	0.17928	0.24522	1110	CRF	ner.txt.horus	2016.conll.freebase.ascii.txt.horus
False	1	1	ORG	0.12583	0.02097	0.03595	906	CRF	ner.txt.horus	2016.conll.freebase.ascii.txt.horus
False	1	1	PER	0.28277	0.43473	0.34266	789	CRF	ner.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	1	LOC	0.51613	0.23529	0.32323	68	CRF	ner.txt.horus	ner.txt.horus
True	1	1	ORG	0.38462	0.17857	0.24390	28	CRF	ner.txt.horus	ner.txt.horus
True	1	1	PER	0.57292	0.37162	0.45082	148	CRF	ner.txt.horus	ner.txt.horus
True	1	2	LOC	0.25490	0.24074	0.24762	54	CRF	ner.txt.horus	ner.txt.horus
True	1	2	ORG	0.36364	0.10526	0.16327	38	CRF	ner.txt.horus	ner.txt.horus
True	1	2	PER	0.58182	0.51613	0.54701	124	CRF	ner.txt.horus	ner.txt.horus
True	1	3	LOC	0.31667	0.30645	0.31148	62	CRF	ner.txt.horus	ner.txt.horus
